SGB ID	Species label	NCBI taxID	Alternative species labels	Alternative NCBI taxIDs
SGB228	Halorientalis_regularis	660518		
SGB231	Halomicrobium_katesii	437163	Halomicrobium_mukohataei,Halomicrobium_sp_ZPS1	57705,2790029
SGB207	Halanaeroarchaeum_sulfurireducens	1604004		
SGB250	Halogranum_amylolyticum	660520		
SGB291	Halovivax_ruber	387341		
SGB301	Natrialba_chahannaoensis	68911		
SGB295	Halostagnicola_larsenii	353800		
SGB302	Haloterrigena_daqingensis	588898		
SGB233	Halosimplex_carlsbadense	171164		
SGB303	Natronorubrum_sediminis	640943		
SGB308	Natronococcus_occultus	29288		
SGB298	Natrialba_magadii	13769		
SGB299	Natrialba_hulunbeirensis	123783		
SGB300	Natrialba_sp_SSL1	1869245		
SGB307	Halobiforma_nitratireducens	130048		
SGB324	Haloterrigena_mahii	1416969		
SGB294	Halostagnicola_kamekurae	619731		
SGB312	Natronorubrum_sulfidifaciens	388259		
SGB309	Natronococcus_amylolyticus	44470		
SGB304	Halobiforma_lacisalsi	229731	Halobiforma_haloterrestris	148448
SGB346	Acidiplasma_aeolicum	507754	Acidiplasma_cupricumulans,Acidiplasma_sp_MBA_1	312540,1293648
SGB265	Halolamina_pelagica	699431		
SGB321	Natrinema_altunense	222984		
SGB323	Natrinema_pellirubrum	69525	Haloterrigena_thermotolerans,Haloterrigena_jeotgali	121872,413811
SGB314	Haloterrigena_limicola	370323		
SGB315	Haloterrigena_hispanica	392421		
SGB316	Natrinema_versiforme	88724		
SGB322	Natrinema_pallidum	69527		
SGB306	Natronobacterium_texcoconense	1095778		
SGB340	Halococcus_hamelinensis	332168		
SGB345	Ferroplasma_acidiphilum	74969	Ferroplasma_acidarmanus	97393
SGB296	Natrialba_aegyptia	129789	Natrialba_taiwanensis	160846
SGB325	Haloterrigena_saccharevitans	301967		
SGB327	Natronorubrum_tibetense	63128		
SGB348	Cuniculiplasma_divulgatum	1673428		
SGB337	Halococcus_thailandensis	335952		
SGB352	Thermoplasma_volcanium	50339		
SGB319	Natrinema_salaciae	1186196		
SGB328	Natronorubrum_texcoconense	1095776		
SGB336	Halococcus_morrhuae	2250		
SGB331	Natronolimnobius_innermongolicus	253107		
SGB241	Haloferax_alexandrinus	114529	Haloferax_volcanii,Haloferax_sp_BAB2207,Haloferax_lucentense,Haloferax_sp_ATCC_BAA_645,Haloferax_sp_ATCC_BAA_646,Haloferax_sp_ATCC_BAA_644,Haloferax_sp_Atlit_24N,Haloferax_sp_Atlit_48N,Haloferax_sp_Atlit_47N,Haloferax_sp_Atlit_109R,Haloferax_sp_Atlit_105R,Haloferax_sp_AS1	2246,1243180,2254,1227463,1227464,1227462,2077200,2077198,2077199,2282134,2282133,2562277
SGB326	Halopiger_salifodinae	1202768		
SGB550	Candidatus_Nitrosotalea_sinensis	1499975		
SGB556	Marine_Group_I_thaumarchaeote_SCGC_AAA799_P11	1502295		
SGB388	Thermoplasmatales_archaeon_BRNA1	1054217		
SGB186	Methanocella_arvoryzae	1175445		
SGB329	Haloterrigena_turkmenica	62320		
SGB317	Natrinema_sp_CBA1119	1608465		
SGB264	Halobaculum_gomorrense	43928		
SGB562	Candidatus_Nitrosopumilus_sediminis	1229909		
SGB305	Natronobacterium_gregoryi	44930		
SGB555	Marine_Group_I_thaumarchaeote_SCGC_AAA799_B03	1502289	Marine_Group_I_thaumarchaeote_SCGC_AAA799_N04,Marine_Group_I_thaumarchaeote_SCGC_AAA799_E16,Marine_Group_I_thaumarchaeote_SCGC_RSA3,Marine_Group_I_thaumarchaeote_SCGC_AAA799_D11	1502293,1502292,1503183,1502291
SGB561	Nitrosopumilus_adriaticus	1580092		
SGB554	Nitrosarchaeum_koreense	1088740	Nitrosarchaeum_sp_AC2	2259673
SGB339	Halococcus_salifodinae	36738		
SGB384	Methanomassiliicoccales_archaeon	1906667		
SGB552	Candidatus_Nitrosarchaeum_limnium	1007084		
SGB547	Candidatus_Nitrosotenuis_uzonensis	1407055		
SGB559	Nitrosopumilus_piranensis	1582439	Nitrosopumilus_sp_b2	2109908
SGB338	Halococcus_saccharolyticus	62319		
SGB560	Candidatus_Nitrosopumilus_salaria	1170320		
SGB354	Thermoplasma_acidophilum	2303		
SGB544	Candidatus_Nitrosopelagicus_brevis	1410606		
SGB548	Candidatus_Nitrosotalea_devanaterra	1078905		
SGB313	Natronorubrum_thiooxidans	308853		
SGB376	Methanomassiliicoccales_archaeon	1906667		
SGB311	Natronorubrum_bangense	61858		
SGB335	Halalkalicoccus_paucihalophilus	1008153		
SGB557	Nitrosopumilus_maritimus	338192		
SGB580	gamma_proteobacterium_SCGC_AAA300_D14	939696		
SGB611	Methanomethylovorans_hollandica	101192		
SGB333	Natronolimnobius_baerhuensis	253108		
SGB334	Halalkalicoccus_jeotgali	413810		
SGB318	Natrinema_ejinorense	373386		
SGB381	Methanomassiliicoccaceae_archaeon_DOK	1535962		
SGB297	Natrialba_asiatica	64602		
SGB549	Candidatus_Nitrosotalea_okcheonensis	1903276		
SGB149	Methanoregula_boonei	358766		
SGB619	Methanolobus_tindarius	2221		
SGB595	Methanosarcina_sp_WH1	1434102	Methanosarcina_sp_WWM596	1434103
SGB330	Haloterrigena_salifodinae	2675099	Haloterrigena_salina,Haloterrigena_sp_SYSU_A121_1,Haloterrigena_sp_SYSU_A558_1	504937,2496101,2741724
SGB628	Methanohalobium_evestigatum	2322		
SGB589	Candidatus_Methanoperedens_nitroreducens	1392998		
SGB363	Candidatus_Methanomassiliicoccus_intestinalis	1406512		
SGB531	Dethiobacter_alkaliphilus	427926		
SGB642	Caldisphaera_lagunensis	200415		
SGB597	Methanosarcina_mazei	2209	Methanosarcina_soligelidi	1036677
SGB614	Methanococcoides_methylutens	2226		
SGB624	Methanohalophilus_portucalensis	39664		
SGB592	Methanosarcina_siciliae	38027		
SGB625	Methanohalophilus_euhalobius	51203	Methanohalophilus_sp_WG1_DM	2491675
SGB613	Methanococcoides_burtonii	29291		
SGB645	Nanoarchaeum_equitans	160232		
SGB623	Methanohalophilus_halophilus	2177		
SGB654	Methanocaldococcus_infernus	67760		
SGB627	Methanosalsum_zhilinae	39669		
SGB636	Candidatus_Altiarchaeales_archaeon_WOR_SM1_SCG	1849261		
SGB626	Methanohalophilus_mahii	2176		
SGB404	K189A_clade_bacterium	2315472		
SGB347	Picrophilus_oshimae	46632	Picrophilus_torridus	82076
SGB396	Candidatus_Methanoplasma_termitum	1577791		
SGB601	Methanosarcina_vacuolata	2215	Methanosarcina_sp_Kolksee	1434099
SGB649	Methanocaldococcus_fervens	83171		
SGB594	Methanosarcina_sp_1_H_A_2_2	1483601	Methanosarcina_sp_1_H_T_1A_1,Methanosarcina_sp_2_H_A_1B_4,Methanosarcina_sp_2_H_T_1A_15,Methanosarcina_sp_2_H_T_1A_3,Methanosarcina_sp_2_H_T_1A_6,Methanosarcina_sp_2_H_T_1A_8	1483602,1483600,1483596,1483597,1483599,1483598
SGB596	Methanosarcina_lacustris	170861		
SGB653	Methanocaldococcus_villosus	667126		
SGB385	Candidatus_Methanomethylophilus_alvus	1291540		
SGB332	Halopiger_xanaduensis	387343		
SGB603	Methanosarcina_barkeri	2208	Methanosarcina_sp_A14	1860098
SGB610	Methanosarcina_sp_MTP4	1434100		
SGB598	Methanosarcina_horonobensis	418008		
SGB615	Methanolobus_psychrophilus	420950		
SGB646	Methanocaldococcus_sp_FS406_22	644281		
SGB655	Methanococcus_aeolicus	42879		
SGB593	Methanosarcina_acetivorans	2214		
SGB644	Methanopyrus_kandleri	2320		
SGB661	Methanococcus_maripaludis	39152		
SGB310	Natronococcus_jeotgali	413812	Natronococcus_sp_JC468	1961921
SGB651	Methanotorris_igneus	2189		
SGB320	Natrinema_gari	419186	Natrinema_sp_J7_2,Natrinema_sp_J7_1	406552,1172566
SGB652	Methanotorris_formicicus	213185		
SGB662	Methanococcus_vannielii	2187		
SGB699	Methanosphaera_sp_WGK6	1561964		
SGB677	Methanobacterium_congolense	118062		
SGB620	Methanolobus_vulcani	38026		
SGB591	Candidatus_Methanoperedens_nitroreducens	1392998		
SGB656	Methanothermococcus_okinawensis	155863		
SGB387	Candidatus_Methanomethylophilus_sp_1R26	1769296		
SGB617	Methanolobus_zinderi	536044		
SGB648	Methanocaldococcus_jannaschii	2190		
SGB659	Methanococcus_maripaludis	39152		
SGB722	Methanothermus_fervidus	2180		
SGB647	Methanocaldococcus_bathoardescens	1301915		
SGB681	Methanobacterium_bryantii	2161	Methanobacterium_sp_A39	1860100
SGB693	Methanobacterium_formicicum	2162		
SGB389	methanogenic_archaeon	1903525	methanogenic_archaeon_ISO4_H5	1495144
SGB605_group	Methanosarcina_thermophila	2210	Methanosarcina_flavescens	1715806
SGB663	Methanococcus_voltae	2188		
SGB676	Methanothermobacter_wolfeii	145261	Methanothermobacter_sp_THM_1	2606911
SGB690	Methanobacterium_sp_MB1	1379702		
SGB660	Methanococcus_maripaludis	39152		
SGB600	Methanosarcina_barkeri	2208	Methanosarcina_spelaei	1036679
SGB691	Methanobacterium_formicicum	2162		
SGB747	Peptostreptococcus_sp_MV1	1219626		
SGB716	Methanobrevibacter_gottschalkii	190974	Methanobrevibacter_sp_A27	1860099
SGB706	Methanobrevibacter_olleyae	294671		
SGB776	Geoglobus_ahangari	113653		
SGB680	Methanobacterium_lacus	877455		
SGB783	Ferroglobus_placidus	54261		
SGB679	Methanobacterium_paludis	868131		
SGB558	Candidatus_Nitrosopumilus_koreensis	1510466		
SGB703	Methanobrevibacter_curvatus	49547		
SGB775	Geoglobus_acetivorans	565033		
SGB702	Methanobrevibacter_filiformis	55758		
SGB700	Methanobrevibacter_cuticularis	47311		
SGB710	Methanobrevibacter_sp_87_7	387957		
SGB782	Archaeoglobus_profundus	84156		
SGB602	Methanosarcina_barkeri	2208		
SGB829	Aciduliprofundum_boonei	379547		
SGB750	Peptostreptococcus_sp_D1	72304		
SGB813	Pyrobaculum_neutrophilum	70771		
SGB814	Thermoproteus_tenax	2271		
SGB717	Methanobrevibacter_sp_YE315	1609968		
SGB707	Methanobrevibacter_ruminantium	83816		
SGB674	Methanothermobacter_defluvii	49339	Methanothermobacter_thermautotrophicus,Methanothermobacter_sp_CaT2	145262,866790
SGB372	Methanomassiliicoccales_archaeon	1906667		
SGB675	Methanothermobacter_marburgensis	145263	Methanothermobacter_sp_KEPCO_1,Methanothermobacter_sp_THM_2	2603820,2606912
SGB853	Candidatus_Nitrososphaera_gargensis	497727		
SGB621	Methanolobus_profundi	487685		
SGB850	Nitrososphaera_viennensis	1034015		
SGB820	Caldivirga_maquilingensis	76887		
SGB789	Methanonatronarchaeum_thermophilum	1927129		
SGB781	Archaeoglobus_veneficus	58290		
SGB822	Vulcanisaeta_distributa	164451		
SGB826	Vulcanisaeta_sp_EB80	1650660		
SGB815	Pyrobaculum_ferrireducens	1104324		
SGB777	Archaeoglobus_sulfaticallidus	1316941		
SGB809	Thermoproteus_uzoniensis	184117		
SGB746	Peptostreptococcus_anaerobius	1261		
SGB692	Methanobacterium_subterraneum	59277	Methanobacterium_sp_MZ_A1	1911685
SGB658	Methanococcus_maripaludis	39152		
SGB819	Pyrobaculum_calidifontis	181486		
SGB698	Methanosphaera_stadtmanae	2317	Methanosphaera_sp_A6	1860157
SGB830	Aciduliprofundum_sp_MAR08_339	673860		
SGB859	Acidianus_manzaensis	282676		
SGB715	Methanobrevibacter_woesei	190976		
SGB878	Thermococcus_peptonophilus	53952		
SGB865	Sulfurisphaera_ohwakuensis	69656	Sulfurisphaera_tokodaii	111955
SGB867	Metallosphaera_cuprina	1006005		
SGB748	Peptostreptococcus_stomatis	341694		
SGB851	Candidatus_Nitrososphaera_evergladensis	1459637		
SGB873	Thermococcus_sp_2319x1	1674923		
SGB817	Pyrobaculum_arsenaticum	121277	Pyrobaculum_oguniense	99007
SGB877	Thermococcus_kodakarensis	311400		
SGB745	Peptostreptococcus_russellii	215200		
SGB810	Thermoproteus_sp_CP80	1650659		
SGB858	Acidianus_sp_RZ1	1540082	Candidatus_Acidianus_copahuensis	1160895
SGB650	Methanocaldococcus_vulcanius	73913		
SGB743	Peptostreptococcus_russellii	215200		
SGB876	Palaeococcus_pacificus	971279		
SGB719	Methanobrevibacter_millerae	230361		
SGB856	Sulfolobus_acidocaldarius	2285		
SGB855	Candidatus_Nitrosocosmicus_oleophilus	1353260		
SGB880	Thermococcus_guaymasensis	110164		
SGB720	Methanobrevibacter_oralis	66851		
SGB863	Acidianus_hospitalis	563177	Acidianus_ambivalens	2283
SGB871	Thermococcus_litoralis	2265		
SGB816	Pyrobaculum_sp_WP30	1227555		
SGB864	Sulfolobus_sp_A20	1891280	Sulfolobus_sp_B5,Sulfolobus_sp_D5,Sulfolobus_sp_E3,Sulfolobus_sp_C3,Sulfolobus_sp_F3,Sulfolobus_sp_B1,Sulfolobus_sp_F1,Sulfolobus_sp_E1	2200883,2200882,2200887,2200885,2200886,2200888,2200889,2200890
SGB823	Vulcanisaeta_moutnovskia	985052		
SGB711	Methanobacteriaceae_archaeon	2099680		
SGB866	Metallosphaera_sedula	43687	Metallosphaera_prunae	47304
SGB881	Thermococcus_sp_AM4	246969		
SGB888	Thermococcus_celericrescens	227598	Thermococcus_sp_SY113	2598455
SGB908	Desulfurococcus_amylolyticus	94694		
SGB912	Ignicoccus_hospitalis	160233		
SGB897	Pyrococcus_kukulkanii	1609559		
SGB872	Thermococcus_sp_101_C5	2654197	Thermococcus_sp_PK	913025
SGB879	Thermococcus_eurythermalis	1505907		
SGB818	Pyrobaculum_aerophilum	13773		
SGB709	Methanobrevibacter_boviskoreani	1348249	Methanobrevibacter_sp_AbM4	224719
SGB860	Saccharolobus_solfataricus	2287		
SGB913	Ignicoccus_islandicus	54259		
SGB896	Pyrococcus_horikoshii	53953		
SGB911	Thermogladius_calderae	1200300		
SGB892	Thermococcus_pacificus	71998		
SGB893	Pyrococcus_yayanosii	1008460		
SGB886	Thermococcus_thioreducens	277988		
SGB904	Acidilobus_saccharovorans	242703		
SGB885	Thermococcus_piezophilus	1712654	Thermococcus_sp_CX2	163006
SGB869	Thermococcus_barophilus	55802		
SGB895	Pyrococcus_sp_NA2	342949		
SGB909	Desulfurococcus_mucosus	2275		
SGB914	Aeropyrum_pernix	56636		
SGB889	Thermococcus_radiotolerans	187880	Thermococcus_sp_5_4	2008440
SGB862	Metallosphaera_yellowstonensis	1111107		
SGB833	Thermofilum_adornatus	1365176	Thermofilum_carboxyditrophus	1483572
SGB898	Thermococcus_chitonophagus	54262		
SGB891	Thermococcus_celer	2264		
SGB894	Pyrococcus_furiosus	2261		
SGB900	Pyrococcus_abyssi	29292		
SGB861	Sulfolobus_islandicus	43080		
SGB907	Staphylothermus_hellenicus	84599		
SGB701	Methanobrevibacter_arboriphilus	39441		
SGB910	Thermosphaera_aggregans	54254		
SGB916	Pyrodictium_delaneyi	1273541		
SGB899	Pyrococcus_sp_ST04	1183377		
SGB988	Atopobium_deltae	1393034		
SGB906	Staphylothermus_marinus	2280		
SGB915	Aeropyrum_camini	229980		
SGB961	Atopobium_sp_oral_taxon_810	712158		
SGB875	Thermococcus_sp_EP1	1591054		
SGB903	Candidatus_Korarchaeum_cryptofilum	498846		
SGB802	Thermoplasmatales_archaeon_SCGC_AB_539_N05	1198116		
SGB883	Thermococcus_gammatolerans	187878		
SGB920	Ignisphaera_aggregans	334771		
SGB919	Pyrolobus_fumarii	54252		
SGB917	Pyrodictium_occultum	2309		
SGB963	Coriobacteriales_bacterium_DNF00809	1588753		
SGB884	Thermococcus_onnurineus	342948	Thermococcus_sp_GR6,Thermococcus_sp_GR7,Thermococcus_sp_GR5,Thermococcus_sp_GR4	1638256,1638257,1638255,1638254
SGB1051	alpha_proteobacterium_IMCC14465	1220535		
SGB964	Atopobium_parvulum	1382		
SGB812	Pyrobaculum_islandicum	2277		
SGB918	Hyperthermus_butylicus	54248		
SGB870	Thermococcus_paralvinellae	582419		
SGB887	Thermococcus_sp_4557	1042877		
SGB1092	Rhodobacteraceae_bacterium_SB2	1689867		
SGB990	Atopobium_vaginae	82135	Atopobium_sp_Marseille_P4126	2094145
SGB874	Thermococcus_sibiricus	172049		
SGB1028	Thermodesulforhabdus_norvegica	39841		
SGB985	Atopobium_rimae	1383	Atopobium_sp_HMSC064B08	1739402
SGB957	Phoenicibacter_congonensis	1944646		
SGB1138	SAR116_cluster_alpha_proteobacterium_HIMB100	909943		
SGB1045	Emcibacter_congregatus	2043170		
SGB1156	Commensalibacter_sp_MX01	1208583		
SGB993	Bacilli_bacterium	1903720		
SGB831	Thermofilum_pendens	2269		
SGB955	Clostridia_bacterium	2044939		
SGB962	Cryptobacterium_curtum	84163		
SGB1096	Rubidibacter_lacunae	582514		
SGB1052	Candidatus_Micropelagos_thuwalensis	1397666		
SGB925	Candidatus_Nitrosocaldus_cavascurensis	2058097		
SGB984	Atopobium_sp_oral_taxon_199	712156		
SGB1164	Gluconobacter_albidus	318683	Gluconobacter_sp_DsW_056	1511209
SGB1171	Acetobacter_aceti	435		
SGB841	Fervidicoccus_fontis	683846		
SGB1149	Candidatus_Puniceispirillum_marinum	767892		
SGB1189	Acetobacter_syzygii	146476		
SGB991	Atopobium_vaginae	82135		
SGB1161	Gluconobacter_japonicus	376620	Gluconobacter_frateurii	38308
SGB1173	Acidomonas_methanolica	437		
SGB1180	Komagataeibacter_rhaeticus	215221	Gluconacetobacter_sp_SXCC_1,Komagataeibacter_xylinus	1004836,28448
SGB834	Thermofilum_uzonense	1550241		
SGB1172	Asaia_bogorensis	91915	Asaia_sp_SF2_1,Asaia_platycodi,Asaia_sp_As_1742	406101,610243,2608325
SGB696	Methanosphaera_cuniculi	1077256		
SGB1188	Acetobacter_cibinongensis	146475		
SGB1016	Bacilli_bacterium	1903720		
SGB1182	Komagataeibacter_nataicola	265960		
SGB1186	Acetobacter_thailandicus	1502842	Acetobacter_sp_DmW_043,Acetobacter_sp_DsW_059	1670658,1670661
SGB1155	Commensalibacter_intestini	479936		
SGB969	Atopobium_parvulum	1382	Atopobium_sp_ICM42b,Atopobium_sp_BS2	1190620,936550
SGB1162	Gluconobacter_thailandicus	257438	Gluconobacter_oxydans,Gluconobacter_frateurii	442,38308
SGB1167	Gluconobacter_roseus	586239		
SGB1022	Bacilli_bacterium	1903720		
SGB1191	Acetobacter_okinawensis	1076594		
SGB1178_group	Komagataeibacter_europaeus	33995	Komagataeibacter_diospyri,Komagataeibacter_sp_FXV3	1932662,2608998
SGB1187	Acetobacter_orientalis	146474		
SGB1181	Komagataeibacter_medellinensis	1177712		
SGB1159	Parasaccharibacter_apium	1510841	Bombella_sp_ESL0385,Bombella_sp_ESL0378	2676446,2676442
SGB1001	Bacilli_bacterium	1903720		
SGB1185	Neoasaia_chiangmaiensis	320497		
SGB1175	Komagataeibacter_hansenii	436		
SGB1021	Bacilli_bacterium	1903720		
SGB780	Archaeoglobus_fulgidus	2234		
SGB1017	Bacilli_bacterium	1903720		
SGB1192	Acetobacter_ghanensis	431306		
SGB1204	Acetobacter_tropicalis	104102		
SGB1203	Acetobacter_indonesiensis	104101		
SGB1190	Acetobacter_fabarum	483199	Acetobacter_sp_DsW_54	1670660
SGB987	Atopobium_minutum	1381	Atopobium_sp_BV3Ac4	1111121
SGB1005	Bacilli_bacterium	1903720		
SGB1201	Acetobacter_malorum	178901		
SGB714_group	Methanobrevibacter_smithii	2173	Methanobrevibacter_sp_A54	1860156
SGB1168	Gluconobacter_morbifer	479935		
SGB1220	Micavibrio_aeruginosavorus	349221		
SGB1221	Micavibrio_aeruginosavorus	349221		
SGB960	Olegusella_massiliensis	1776381	Coriobacteriaceae_bacterium_BV3Ac1	1111135
SGB1158	Bombella_intestini	1539051	Bombella_sp_TMW_2_1880	2039164
SGB1037	Deltaproteobacteria_bacterium	2026735		
SGB1160	Gluconobacter_cerinus	38307	Gluconobacter_oxydans,Gluconobacter_sp_DsW_058	442,1511210
SGB1184	Tanticharoenia_sakaeratensis	444053		
SGB1297	Geotoga_petraea	28234		
SGB1200	Acetobacter_cerevisiae	178900		
SGB1198	Acetobacter_orleanensis	104099		
SGB1294	Marinitoga_sp_1154	1643335	Marinitoga_sp_1197,Marinitoga_sp_1155	1428449,1428448
SGB1295	Marinitoga_hydrogenitolerans	287990		
SGB1303	Rikenellaceae_bacterium	2049048		
SGB1344	Porphyromonadaceae_bacterium_COT_184_OH4590	1517682		
SGB1183	Kozakia_baliensis	153496		
SGB1165_group	Gluconobacter_oxydans	442	Gluconobacter_sp_R71646,Gluconobacter_sp_R75828,Gluconobacter_sp_AC10,Gluconobacter_sphaericus	2724927,2724932,2662454,574987
SGB1234	Kordiimonas_lacus	637679		
SGB1196	Acetobacter_pasteurianus	438		
SGB1169	Acetobacter_aceti	435		
SGB1195	Acetobacter_pasteurianus	438	Acetobacter_sp_BCRC_14118	1868878
SGB1415	Bacteroidaceae_bacterium	2212467		
SGB1194	Acetobacter_pomorum	65959	Acetobacter_oryzifermentans,Acetobacter_pasteurianus,Acetobacter_sp_JWB,Acetobacter_sp_DmW_136,Acetobacter_sp_DmW_125128	1633874,438,2259883,2591091,2591089
SGB1371	Bacteroidales_bacterium	2030927		
SGB1179	Komagataeibacter_xylinus	28448	Komagataeibacter_swingsii	215220
