aaa	Acidovorax avenae
afg	Archaeoglobus fulgidus DSM 8774
afi	Acidithiobacillus ferrivorans
afl	Anoxybacillus flavithermus
afm	Aspergillus fumigatus
afn	Acidaminococcus fermentans
afo	Acidimicrobium ferrooxidans
afr	Acidithiobacillus ferrooxidans ATCC 23270
afs	Actinoplanes friuliensis
afu	Archaeoglobus fulgidus DSM 4304
afv	Aspergillus flavus
afw	Anaeromyxobacter sp. Fw109-5
aga	Anopheles gambiae (mosquito)
ago	Ashbya gossypii (Eremothecium gossypii)
agr	Agrobacterium sp. H13-3
aha	Aeromonas hydrophila subsp. hydrophila ATCC 7966
ahd	Aeromonas hydrophila YL17
ahe	Arcanobacterium haemolyticum
ahj	Aeromonas hydrophila J-1
aho	Acidianus hospitalis
ahp	Aeromonas hydrophila pc104A
ahr	Aeromonas hydrophila AL09-71
ahy	Aeromonas hydrophila ML09-119
ain	Acidaminococcus intestini
aja	Amycolatopsis japonica
aje	Ajellomyces capsulatus
ajs	Acidovorax sp. JS42
aka	Advenella kashmirensis
ali	Azospirillum lipoferum
alt	Alteromonas sp. SN2
alv	Allochromatium vinosum
aly	Arabidopsis lyrata (lyrate rockcress)
ama	Anaplasma marginale St. Maries
amaa	Alteromonas macleodii AltDE1
amac	Alteromonas macleodii ATCC 27126
amad	Alteromonas macleodii Ionian Sea UM4b
amae	Alteromonas macleodii Ionian Sea U7
amag	Alteromonas macleodii Aegean Sea MED64
amai	Alteromonas macleodii Ionian Sea UM7
amal	Alteromonas macleodii Ionian Sea U4
amao	Alteromonas macleodii Ionian Sea U8
amb	Alteromonas macleodii Balearic Sea AD45
amc	Alteromonas macleodii Deep ecotype
amd	Amycolatopsis mediterranei U32
ame	Apis mellifera (honey bee)
amed	Aeromonas media
amf	Anaplasma marginale Florida
amg	Alteromonas macleodii English Channel 673
amh	Alteromonas macleodii English Channel 615
ami	Actinosynnema mirum
amim	Advenella mimigardefordensis
amj	Alligator mississippiensis (American alligator)
amk	Alteromonas macleodii Black Sea 11
aml	Ailuropoda melanoleuca (giant panda)
amm	Amycolatopsis mediterranei S699
amn	Amycolatopsis mediterranei S699
amo	Anaerobaculum mobile
amp	Anaplasma marginale Gypsy Plains
amq	Amycolatopsis methanolica
amr	Acaryochloris marina
ams	Actinoplanes missouriensis
amt	Alkaliphilus metalliredigens
amu	Akkermansia muciniphila
amv	Acidiphilium multivorum
amw	Anaplasma marginale Dawn
amz	Amycolatopsis mediterranei RB
ana	Nostoc sp. PCC 7120
anb	Anabaena sp. 90
ang	Aspergillus niger
ani	Aspergillus nidulans
ank	Anaeromyxobacter sp. K
ant	Arcobacter nitrofigilis
aoe	Alkaliphilus oremlandii
aoi	Amycolatopsis orientalis
aol	Bradyrhizobium oligotrophicum
aor	Aspergillus oryzae
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
apac	Alcanivorax pacificus
apal	Acholeplasma palmae
apb	Candidatus Puniceispirillum marinum
apc	Alpha proteobacterium HIMB59
apd	Anaplasma phagocytophilum Dog2
ape	Aeropyrum pernix
apf	Acetobacter pasteurianus IFO 3283-03
apg	Acetobacter pasteurianus IFO 3283-12
aph	Anaplasma phagocytophilum HZ
apha	Anaplasma phagocytophilum JM
api	Acyrthosiphon pisum (pea aphid)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apk	Acetobacter pasteurianus 386B
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apla	Anas platyrhynchos (mallard)
apm	Alpha proteobacterium HIMB5
apn	Arthrobacter phenanthrenivorans
apo	Archaeoglobus profundus
app	Accumulibacter phosphatis
apq	Acetobacter pasteurianus IFO 3283-22
apr	Anaerococcus prevotii
aps	Candidatus Azobacteroides pseudotrichonymphae (Coptotermes formosanus)
apt	Acetobacter pasteurianus IFO 3283-01
apu	Acetobacter pasteurianus IFO 3283-07
apv	Atopobium parvulum
apw	Acetobacter pasteurianus IFO 3283-01-42C
apx	Acetobacter pasteurianus IFO 3283-26
apy	Anaplasma phagocytophilum HZ2
apz	Acetobacter pasteurianus IFO 3283-32
aqu	Amphimedon queenslandica (sponge)
ara	Agrobacterium radiobacter
arc	Arcobacter sp. L
arm	Arthrobacter sp. PAMC25486
arp	Arthrospira platensis
arr	Arthrobacter sp. Rue61a
art	Arthrobacter sp. FB24
asa	Aeromonas salmonicida
asb	Candidatus Arthromitus sp. SFB-rat-Yit
asc	Acidilobus saccharovorans
asd	Amycolicicoccus subflavus
ase	Actinoplanes sp. SE50/110
asf	Candidatus Arthromitus sp. SFB-mouse-Japan
asg	Actinobaculum schaalii
ash	Alistipes shahii
asi	Actinobacillus suis H91-0380
asl	Aequorivita sublithincola
asm	Candidatus Arthromitus sp. SFB-mouse-Yit
asn	Alligator sinensis (Chinese alligator)
aso	Candidatus Arthromitus sp. SFB-mouse-NL
ass	Actinobacillus suis ATCC 33415
ast	Archaeoglobus sulfaticallidus
asu	Actinobacillus succinogenes
ate	Caldicellulosiruptor bescii
ath	Arabidopsis thaliana (thale cress)
atm	Anaerolinea thermophila
atr	Amborella trichopoda
atu	Agrobacterium fabrum
aur	Aerococcus urinae
ava	Anabaena variabilis
avd	Azotobacter vinelandii CA6
ave	Archaeoglobus veneficus
avi	Agrobacterium vitis
avl	Azotobacter vinelandii CA
avn	Azotobacter vinelandii DJ
avr	Aeromonas veronii
awo	Acetobacterium woodii
axl	Amphibacillus xylanus
axn	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
axo	Achromobacter xylosoxidans NH44784-1996
axs	Achromobacter xylosoxidans C54
axy	Achromobacter xylosoxidans A8
aym	Ilumatobacter coccineus
ayw	Aster yellows witches'-broom phytoplasma AYWB
aza	Azoarcus sp. KH32C
azc	Azorhizobium caulinodans
azl	Azospirillum sp. B510
azo	Azoarcus sp. BH72
baa	Brucella abortus A13334
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
babb	Brucella abortus BDW
babc	Brucella abortus NCTC 10505
babo	Brucella abortus bv. 2 86/8/59
babr	Brucella abortus bv. 6 870
babs	Brucella abortus BER
babt	Brucella abortus 63 75
babu	Brucella abortus bv. 9 C68
bac	Burkholderia ambifaria MC40-6
bacb	Bacillus sp. BH072
bacc	Bacteroides sp. CF50
baci	Bacillus sp. 1NLA3E
baco	Bacillus sp. OxB-1
bacp	Bacillus sp. Pc3
bacu	Balaenoptera acutorostrata scammoni (minke whale)
bacw	Bacillus sp. WP8
bad	Bifidobacterium adolescentis ATCC 15703
badl	Bifidobacterium adolescentis 22L
bae	Bacillus atrophaeus
baf	Borrelia afzelii (FLI)
bafh	Borrelia afzelii HLJ01
baft	Borrelia afzelii Tom3107
bafz	Borrelia afzelii (Maryland)
bag	Bacillus coagulans 36D1
bah	Bacillus anthracis CDC 684
bai	Bacillus anthracis A0248
baj	Buchnera aphidicola (Cinara tujafilina)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
bal	Bacillus cereus biovar anthracis CI
bam	Burkholderia ambifaria AMMD
bama	Bacillus amyloliquefaciens subsp. plantarum UCMB5033
bamb	Bacillus amyloliquefaciens subsp. plantarum NAU-B3
bamc	Bacillus amyloliquefaciens CC178
bamf	Bacillus amyloliquefaciens LFB112
bami	Bacillus amyloliquefaciens IT-45
baml	Bacillus amyloliquefaciens subsp. plantarum UCMB5036
bamn	Bacillus amyloliquefaciens subsp. plantarum UCMB5113
bamp	Bacillus amyloliquefaciens subsp. plantarum AS43.3
bamt	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448
bamy	Bacillus amyloliquefaciens SQR9
ban	Bacillus anthracis Ames
banh	Bacillus anthracis HYU01
bani	Bifidobacterium animalis subsp. lactis Bl12
banl	Bifidobacterium animalis subsp. lactis ATCC 27673
banm	Bifidobacterium animalis RH
banr	Bacillus anthracis A16R
bans	Bacillus anthracis SVA11
bant	Bacillus anthracis A16
banv	Bacillus anthracis Vollum
bao	Bacillus amyloliquefaciens DSM 7
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
baq	Bacillus amyloliquefaciens subsp. plantarum CAU B946
bar	Bacillus anthracis Ames 0581
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bast	Bifidobacterium asteroides
bat	Bacillus anthracis Sterne
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baus	Bartonella australis
bav	Bordetella avium
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bax	Bacillus anthracis H9401
bay	Bacillus amyloliquefaciens FZB42
baz	Bacillus amyloliquefaciens TA208
bba	Bdellovibrio bacteriovorus HD100
bbac	Bdellovibrio bacteriovorus 109J
bbag	Burkholderiales bacterium GJ-E10
bbat	Bdellovibrio bacteriovorus Tiberius
bbb	Bifidobacterium animalis subsp. lactis BB-12
bbc	Bifidobacterium animalis subsp. lactis BLC1
bbd	Belliella baltica
bbe	Brevibacillus brevis
bbf	Bifidobacterium bifidum BGN4
bbg	Blattabacterium BGIGA (Blaberus giganteus)
bbh	Bordetella bronchiseptica 253
bbi	Bifidobacterium bifidum S17
bbj	Borrelia burgdorferi JD1
bbk	Bartonella bacilliformis
bbl	Blattabacterium Bge (Blattella germanica)
bbm	Bordetella bronchiseptica MO149
bbn	Borrelia burgdorferi N40
bbo	Babesia bovis
bbp	Bifidobacterium bifidum PRL2010
bbq	Blattabacterium sp. (Blatta orientalis)
bbr	Bordetella bronchiseptica RB50
bbrc	Bifidobacterium breve JCM 7019
bbre	Bifidobacterium breve 12L
bbrj	Bifidobacterium breve JCM 7017
bbrn	Bifidobacterium breve NCFB 2258
bbrs	Bifidobacterium breve S27
bbru	Bifidobacterium breve UCC2003
bbrv	Bifidobacterium breve 689b
bbs	Borrelia bissettii
bbt	Bradyrhizobium sp. BTAi1
bbu	Borrelia burgdorferi B31
bbur	Borrelia burgdorferi CA382
bbv	Bifidobacterium breve ACS-071-V-Sch8b
bbw	Bdellovibrio bacteriovorus W
bbx	Bordetella bronchiseptica S798
bby	Bacillus bombysepticus
bbz	Borrelia burgdorferi ZS7
bca	Bacillus cereus ATCC 10987
bcar	Brucella canis RM6/66
bcas	Brucella canis SVA13
bcb	Bacillus cereus B4264
bcc	Buchnera aphidicola Cc (Cinara cedri)
bcd	Bartonella clarridgeiae
bce	Bacillus cereus ATCC 14579
bced	Burkholderia cepacia DDS 7H-2
bcee	Brucella ceti TE28753-12
bcef	Bacillus cereus FT9
bcen	Burkholderia cenocepacia DDS 22E-1
bcer	Bacillus cereus FRI-35
bcet	Brucella ceti TE10759-12
bcew	Burkholderia cenocepacia DWS 37E-2
bcf	Bacillus cereus F837/76
bcg	Bacillus cereus G9842
bch	Burkholderia cenocepacia HI2424
bchi	Borrelia chilensis
bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
bci	Baumannia cicadellinicola Hc (Homalodisca coagulata)
bcib	Candidatus Baumannia cicadellinicola BGSS
bcj	Burkholderia cenocepacia J2315
bck	Bacillus coagulans 2-6
bcl	Bacillus clausii
bcm	Burkholderia cenocepacia MC0-3
bcn	Burkholderia cenocepacia AU1054
bco	Bacillus cellulosilyticus
bcom	Baudoinia compniacensis
bcor	Bifidobacterium coryneforme
bcp	Blattabacterium Cpu (Cryptocercus punctulatus)
bcq	Bacillus cereus Q1
bcr	Bacillus cereus AH187
bcs	Brucella canis ATCC 23365
bct	Burkholderia cepacia GG4
bcu	Bacillus cereus AH820
bcv	Beutenbergia cavernae
bcw	Borrelia crocidurae
bcx	Bacillus cereus 03BB102
bcy	Bacillus cytotoxicus
bcz	Bacillus cereus ZK
bde	Bifidobacterium dentium
bdh	Bacteroides dorei HS1_L_3_B_079
bdi	Brachypodium distachyon
bdo	Bacteroides dorei HS1_L_1_B_010
bdu	Borrelia duttonii
beq	Babesia equi
bex	Bdellovibrio exovorus
bfa	Brachybacterium faecium
bfg	Bacteroides fragilis 638R
bfi	Butyrivibrio fibrisolvens
bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
bfo	Branchiostoma floridae (Florida lancelet)
bfr	Bacteroides fragilis YCH46
bfs	Bacteroides fragilis NCTC9343
bfu	Botrytis cinerea
bga	Borrelia garinii PBi
bgb	Borrelia garinii BgVir
bgd	Burkholderia gladioli
bge	Burkholderia sp. CCGE1002
bgf	Burkholderia sp. CCGE1003
bgl	Burkholderia glumae BGR1
bgn	Borrelia garinii NMJW1
bgp	Burkholderia glumae PG1
bgr	Bartonella grahamii
bgs	Borrelia garinii SZ
bha	Bacillus halodurans
bhe	Bartonella henselae Houston-1
bhl	Bacteroides helcogenes
bhm	Bordetella holmesii 44057
bhn	Bartonella henselae BM1374163
bho	Bordetella holmesii ATCC 51541
bhr	Borrelia hermsii
bhs	Bartonella henselae BM1374165
bhy	Brachyspira hyodysenteriae
bid	Beijerinckia indica
bif	Bacillus infantis
bii	Bifidobacterium indicum
bip	Brachyspira intermedia
bja	Bradyrhizobium diazoefficiens USDA 110
bjp	Bradyrhizobium japonicum E109
bjs	Bacillus sp. JS
bju	Bradyrhizobium japonicum USDA 6
bka	Bifidobacterium kashiwanohense
bla	Bifidobacterium animalis subsp. lactis AD011
blb	Bifidobacterium longum subsp. longum BBMN68
blc	Bifidobacterium animalis subsp. lactis Bl-04
bld	Bacillus licheniformis DSM 13 = ATCC 14580
ble	Bacillus lehensis
blf	Bifidobacterium longum subsp. infantis 157F
blg	Bifidobacterium longum subsp. longum F8
blh	Bacillus licheniformis 9945A
bli	Bacillus licheniformis ATCC 14580
blj	Bifidobacterium longum DJO10A
blk	Bifidobacterium longum subsp. longum KACC 91563
bll	Bifidobacterium longum subsp. longum JDM301
blm	Bifidobacterium longum subsp. longum JCM 1217
bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
blo	Bifidobacterium longum NCC2705
blon	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
blp	Blattabacterium sp. (Panesthia angustipennis spadica)
bls	Bifidobacterium animalis subsp. lactis Bi-07
blt	Bifidobacterium animalis subsp. lactis DSM 10140
blu	Blattabacterium sp. (Nauphoeta cinerea)
blv	Bifidobacterium animalis subsp. lactis V9
blw	Bifidobacterium animalis subsp. lactis B420
blx	Bifidobacterium longum BXY01
blz	Bifidobacterium longum subsp. longum GT15
bma	Burkholderia mallei ATCC 23344
bmae	Burkholderia mallei 6
bmaf	Burkholderia mallei FMH 23344
bmai	Burkholderia mallei 2000031063
bmal	Burkholderia mallei 23344
bmaq	Burkholderia mallei BMQ
bmaz	Burkholderia mallei 092700E
bmb	Brucella abortus 9-941
bmc	Brucella abortus S19
bmd	Bacillus megaterium DSM 319
bme	Brucella melitensis bv. 1 16M
bmee	Brucella melitensis bv. 3 Ether
bmet	Bacillus methanolicus
bmf	Brucella abortus 2308
bmg	Brucella melitensis M5-90
bmh	Bacillus megaterium WSH-002
bmi	Brucella melitensis ATCC 23457
bmiy	Borrelia miyamotoi CT14D4
bmj	Burkholderia multivorans ATCC 17616 (Tohoku)
bmk	Burkholderia multivorans DDS 15A-1
bml	Burkholderia mallei NCTC 10229
bmm	Blattabacterium MADAR (Mastotermes darwiniensis)
bmn	Burkholderia mallei NCTC 10247
bmo	Borrelia miyamotoi LB-2001
bmor	Bombyx mori (domestic silkworm)
bmp	Bacillus methylotrophicus
bmq	Bacillus megaterium QM B1551
bmr	Brucella microti
bms	Brucella suis 1330
bmt	Brucella suis ATCC 23445
bmu	Burkholderia multivorans ATCC 17616 (JGI)
bmv	Burkholderia mallei SAVP1
bmw	Brucella melitensis NI
bmx	Bacteriovorax marinus
bmy	Brugia malayi (filaria)
bmyc	Bacillus mycoides
bmz	Brucella melitensis M28
bnc	Bacillus cereus NC7401
bni	Bifidobacterium animalis subsp. animalis ATCC 25527
bnm	Bifidobacterium animalis subsp. lactis CNCM I-2494
bok	Burkholderia oklahomensis
bol	Brucella canis Oliveri
bom	Bos mutus (wild yak)
bor	Bipolaris oryzae
bov	Brucella ovis
bpa	Bordetella parapertussis 12822
bpar	Bordetella parapertussis Bpp5
bpb	Butyrivibrio proteoclasticus
bpc	Bordetella pertussis CS
bpd	Burkholderia pseudomallei 668
bpe	Bordetella pertussis Tohama I
bper	Bordetella pertussis 18323
bpet	Bordetella pertussis B1917
bpf	Bacillus pseudofirmus
bpg	Bathycoccus prasinos
bph	Burkholderia phymatum
bpi	Blattabacterium BPLAN (Periplaneta americana)
bpip	Brachyspira pilosicoli P43/6/78
bpj	Brachyspira pilosicoli B2904
bpk	Burkholderia pseudomallei NCTC 13179
bpl	Burkholderia pseudomallei 1106a
bpm	Burkholderia pseudomallei 1710b
bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bpo	Brachyspira pilosicoli 95/1000
bpp	Brucella pinnipedialis B2/94
bpq	Burkholderia pseudomallei BPC006
bpr	Burkholderia pseudomallei MSHR346
bprc	Beta proteobacterium CB
bprl	Butyrate-producing bacterium SSC/2
bprm	Butyrate-producing bacterium SM4/1
bprs	Butyrate-producing bacterium SS3/4
bps	Burkholderia pseudomallei K96243
bpsa	Burkholderia pseudomallei NAU35A-3
bpsd	Burkholderia pseudomallei MSHR520
bpse	Burkholderia pseudomallei MSHR305
bpsh	Burkholderia pseudomallei HBPUB10134a
bpsi	Basilea psittacipulmonis
bpsm	Burkholderia pseudomallei MSHR511
bpso	Burkholderia pseudomallei A79A
bpsp	Bifidobacterium pseudolongum
bpsu	Burkholderia pseudomallei MSHR146
bpt	Bordetella petrii
bpu	Bacillus pumilus SAFR-032
bpum	Bacillus pumilus MTCC B6033
bpv	Brucella pinnipedialis 6/566
bpw	Brachyspira pilosicoli WesB
bpx	Burkholderia phenoliruptrix
bpy	Burkholderia phytofirmans
bpz	Burkholderia pseudomallei 1026b
bql	Bacillus amyloliquefaciens LL3
bqr	Bartonella quintana RM-11
bqu	Bartonella quintana Toulouse
bqy	Bacillus amyloliquefaciens Y2
bra	Bradyrhizobium sp. ORS 278
bre	Borrelia recurrentis
brh	Burkholderia rhizoxinica
brm	Brachyspira murdochii
brp	Brassica rapa (field mustard)
brs	Bradyrhizobium sp. S23321
bsa	Bacteroides salanitronis
bsb	Brevundimonas subvibrioides
bsc	Bipolaris sorokiniana
bsd	Blastococcus saxobsidens
bse	Bacillus selenitireducens
bsf	Brucella suis bv. 1
bsg	Brucella suis ZW046
bsh	Bacillus subtilis subsp. subtilis 6051-HGW
bsi	Brucella suis 1330
bsk	Brucella canis HSK A52141
bsl	Bacillus subtilis subsp. subtilis BSP1
bsn	Bacillus subtilis BSn5
bso	Bacillus subtilis subsp. natto BEST195
bsp	Bacillus subtilis PY79
bsq	Bacillus subtilis QB928
bsr	Bacillus subtilis subsp. subtilis RO-NN-1
bss	Bacillus subtilis subsp. spizizenii W23
bst	Bacillus subtilis subsp. spizizenii TU-B-10
bsu	Bacillus subtilis subsp. subtilis 168
bsui	Brucella suis bv. 2 Bs143CITA
bsul	Bacillus subtilis subsp. subtilis JH642
bsup	Brucella suis bv. 2 PT09143
bsus	Bacillus subtilis subsp. subtilis OH 131.1
bsut	Bacillus subtilis subsp. subtilis AG1839
bsuv	Brucella suis bv. 2 PT09172
bsv	Brucella suis VBI22
bsw	Brucella suis ZW043
bsx	Bacillus subtilis XF-1
bsy	Bacillus subtilis subsp. subtilis BAB-1
bsz	Brucella suis bv. 3
bta	Bos taurus (cow)
btb	Bacillus thuringiensis BMB171
btc	Bacillus thuringiensis serovar chinensis CT-43
btd	Burkholderia thailandensis MSMB121
bte	Burkholderia thailandensis E264
btf	Bacillus thuringiensis serovar finitimus YBT-020
btg	Bacillus thuringiensis Bt407
bth	Bacteroides thetaiotaomicron
bthe	Burkholderia thailandensis E254
bthi	Bacillus thuringiensis serovar kurstaki HD-1
bthm	Burkholderia thailandensis USAMRU Malaysia #20
bthr	Bacillus thuringiensis serovar kurstaki YBT-1520
btht	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	Bacillus thuringiensis YBT-1518
bti	Bacillus thuringiensis HD-771
btj	Burkholderia thailandensis E444
btk	Bacillus thuringiensis 97-27
btl	Bacillus thuringiensis Al Hakam
btm	Bacillus thuringiensis MC28
btn	Bacillus thuringiensis HD-789
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
btp	Bifidobacterium thermophilum
btq	Burkholderia thailandensis 2002721723
btr	Bartonella tribocorum CIP 105476
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
bts	Kyrpidia tusciae
btt	Bacillus thuringiensis serovar kurstaki HD73
btu	Borrelia turicatae
btv	Burkholderia thailandensis MSMB59
btw	Bacillus thuringiensis HD1011
btx	Bartonella tribocorum BM1374166
bty	Bacillus toyonensis
btz	Burkholderia thailandensis H0587
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bue	Burkholderia sp. RPE67
bug	Burkholderia sp. CCGE1001
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
buj	Stenotrophomonas maltophilia JV3
buk	Burkholderia sp. KJ006
buo	Burkholderia sp. RPE64
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bur	Burkholderia lata
but	Burkholderia sp. TSV202
bva	Candidatus Blochmannia vafer (Camponotus vafer)
bvg	Beta vulgaris (sugar beet)
bvi	Burkholderia vietnamiensis
bvn	Bartonella vinsonii
bvs	Barnesiella viscericola
bvt	Borrelia valaisiana
bvu	Bacteroides vulgatus
bwe	Bacillus weihenstephanensis KBAB4
bww	Bacillus weihenstephanensis WSBC 10204
bxb	Burkholderia xenovorans LB400
bxe	Burkholderia xenovorans LB400
bxh	Bacillus amyloliquefaciens XH7
bxy	Bacteroides xylanisolvens
bya	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2
byi	Burkholderia sp. YI23
bze	Bipolaris zeicola
caa	Coraliomargarita akajimensis
cab	Chlamydophila abortus
cac	Clostridium acetobutylicum ATCC 824
cad	Clostridium acidurici
cae	Clostridium acetobutylicum DSM 1731
cag	Chloroflexus aggregans
cah	Clostridium autoethanogenum
cai	Catenulispora acidiphila
caj	Campylobacter sp. 1485E
cak	Caulobacter sp. K31
cal	Candida albicans
calo	Calothrix sp. PCC 7507
calt	Calothrix sp. PCC 6303
cam	Cicer arietinum (chickpea)
camp	Campylobacter fetus subsp. testudinum 03-427
camr	Campylobacter sp. RM16704
can	Cyanobacterium aponinum
cao	Cellulophaga algicola
cap	Caldilinea aerophila
caq	Candidatus Caedibacter acanthamoebae
car	Corynebacterium aurimucosum
care	Collimonas arenae
cat	Croceibacter atlanticus
cau	Chloroflexus aurantiacus
cav	Chlamydia avium
caw	Carnobacterium sp. WN1359
cax	Corynebacterium atypicum
cay	Clostridium acetobutylicum EA 2018
caz	Corynebacterium argentoratense
cba	Clostridium botulinum A ATCC 19397
cbaa	Comamonadaceae bacterium A1
cbab	Comamonadaceae bacterium B1
cbac	Coriobacteriaceae bacterium
cbal	Cellulophaga baltica NN016038
cbat	Cellulophaga baltica 18
cbb	Clostridium botulinum B1 Okra
cbc	Coxiella burnetii CbuK_Q154
cbd	Coxiella burnetii Dugway 5J108-111
cbe	Clostridium beijerinckii NCIMB 8052
cbf	Clostridium botulinum F Langeland
cbg	Coxiella burnetii CbuG_Q212
cbh	Clostridium botulinum A Hall
cbi	Clostridium botulinum Ba4
cbj	Clostridium botulinum H04402 065
cbk	Clostridium botulinum B Eklund 17B
cbl	Clostridium botulinum A3 Loch Maree
cbm	Clostridium botulinum F 230613
cbn	Clostridium botulinum BKT015925
cbo	Clostridium botulinum A ATCC 3502
cbr	Caenorhabditis briggsae
cbs	Coxiella burnetii RSA 331
cbt	Clostridium botulinum E3
cbu	Coxiella burnetii RSA 493
cbv	Clostridium baratii
cbw	Cupriavidus basilensis
cbx	Symbiobacter mobilis
cby	Clostridium botulinum A2
cbz	Clostridium beijerinckii ATCC 35702
cca	Chlamydophila caviae
ccb	Clostridium cellulovorans
ccc	Campylobacter coli CVM N29710
cce	Clostridium cellulolyticum
ccf	Campylobacter coli RM1875
ccg	Corynebacterium casei
cch	Chlorobium chlorochromatii
cci	Coprinopsis cinerea
ccl	Clostridium clariflavum
ccm	Capnocytophaga canimorsus
ccn	Corynebacterium callunae
cco	Campylobacter concisus
